tactic_id,tactic,technique_id,title,risk_score,rating,procedures,owasp_llm,mitre_atlas
T1,Prompt & Context Subversion,T1-AT-001,Dialogue Hijacking,220,HIGH,5,LLM01,AML.T0051
T1,Prompt & Context Subversion,T1-AT-002,Time-Based Context Manipulation,210,HIGH,5,LLM01,AML.T0051.001
T1,Prompt & Context Subversion,T1-AT-003,Language Model Confusion,225,HIGH,5,LLM01,AML.T0051.001
T1,Prompt & Context Subversion,T1-AT-004,Instruction Prefix/Suffix,235,HIGH,6,LLM01,AML.T0051.001
T1,Prompt & Context Subversion,T1-AT-005,Permission Escalation Claims,240,HIGH,5,LLM01,AML.T0051.001
T1,Prompt & Context Subversion,T1-AT-006,Prompt Template Injection,230,HIGH,5,LLM01,AML.T0051.001
T1,Prompt & Context Subversion,T1-AT-007,Cognitive Overload,215,HIGH,4,LLM01,AML.T0051.001
T1,Prompt & Context Subversion,T1-AT-008,Boundary Testing,200,HIGH,5,LLM01,AML.T0051.001
T1,Prompt & Context Subversion,T1-AT-009,Simulation Requests,225,HIGH,5,LLM01,AML.T0051.001
T1,Prompt & Context Subversion,T1-AT-010,Negative Instruction Reversal,210,HIGH,5,LLM01,AML.T0051.001
T1,Prompt & Context Subversion,T1-AT-011,Error Message Exploitation,220,HIGH,4,LLM01,AML.T0051.001
T1,Prompt & Context Subversion,T1-AT-012,Consent Manufacturing,205,HIGH,5,LLM01,AML.T0051.001
T1,Prompt & Context Subversion,T1-AT-013,Instruction Commenting,215,HIGH,4,LLM01,AML.T0051.001
T1,Prompt & Context Subversion,T1-AT-014,Authority Spoofing,240,HIGH,4,LLM01,AML.T0051.001
T1,Prompt & Context Subversion,T1-AT-015,Obfuscation Through Complexity,220,HIGH,4,LLM01,AML.T0051.001
T1,Prompt & Context Subversion,T1-AT-016,Session State Manipulation,235,HIGH,5,LLM01,AML.T0051.001
T2,Semantic & Linguistic Evasion,T2-AT-001,Euphemism and Metaphor Exploitation,180,MEDIUM,10,LLM01,AML.T0051.001
T2,Semantic & Linguistic Evasion,T2-AT-002,Multi-Language Evasion,200,HIGH,7,LLM01,AML.T0051.001
T2,Semantic & Linguistic Evasion,T2-AT-003,Encoding and Obfuscation,190,MEDIUM,10,LLM01,AML.T0051.001
T2,Semantic & Linguistic Evasion,T2-AT-004,Unicode and Bidirectional Attacks,210,HIGH,10,LLM01,AML.T0051.001
T2,Semantic & Linguistic Evasion,T2-AT-005,Semantic Drift,175,MEDIUM,10,LLM01,
T2,Semantic & Linguistic Evasion,T2-AT-006,Linguistic Camouflage,185,MEDIUM,10,LLM01,
T2,Semantic & Linguistic Evasion,T2-AT-007,Phonetic Manipulation,170,MEDIUM,2,LLM01,
T2,Semantic & Linguistic Evasion,T2-AT-008,Synonym and Paraphrase Chains,165,MEDIUM,10,LLM01,
